4,4,承認になるまでの期限が結構長い。,ドラマの感想を入力するタスクが非承認になることがあり、書き方が難しい。
2,2,タスクは報酬が安くたくさん回答しないと稼げない,もう少し報酬をアップお願いします。
4,4,依頼の金額に対して引かれる金額が多すぎる,依頼内容が解りにくい場合がある
3,3,もう少し、単価が高ければ嬉しいです。,よろしくお願いします。
1,1,単価が低すぎる,値段を上げて
5,5,,タスクと同時に写真の提出は写真が無ければタスクが出来ません、写真とタスクを別にしてほしいです。
2,2,アフィサイト絡みの記事タスク多すぎる,5円で200文字とかふざけたクライアントは何を考えてるのか。あさましいにもほどがある
1,1,２割は取り過ぎ,特にありません
3,3,,
3,3,手数料無料の期間をもう一度やだてほしい。,単価が高いとやる気が出ます。
2,2,報酬の振込にも手数料がかかるので、タスクの利用手数料は取らないで欲しいです。,"問い合わせに対して、返信してくれないのはどうかと思います。
いかなる問い合わせでも、きちんと返信して欲しいです。"
2,2,もっと分かりやすいタスクがいい。,やりやすいタスクをお願いします。
1,1,単価を上げてほしい！,
1,1,せめて最低単価を10円～に改善してください。,
3,3,中にはえぇ～というものもありますが、基本いいと思います。中には破格な金額でタスクがありますが、本当でしょうかね？,私はどこでどうつながっているかわかりませんので、つながりを大切にして、仕事をしたいと思います。
2,2,特にありません。,特にありません。
3,3,文字数が多くて1000文字以上あるのに、100円以下はつらいと感じます。何か、きまりがあればとは思います。,わかりやすく説明してあるのもありますが、主旨が分かりにくいものもあります。
4,4,ポイントサイトよりずっといい(稼げる）,趣旨を明確にしてほしい。できればホンネで。
3,3,10円の仕事で2000文字以上などはキツイので、文字数と金額を運営様側で調整して欲しい。,
3,3,時間の有効活用ができて楽しいです。,好きなことでお金をいただけるので嬉しいです。
2,2,,
2,2,,
3,3,,
2,2,,
2,2,もっと単価をあげてほしいです。,
2,2,最低金額を上げてほしいです。,
4,4,単価の低い案件を減らしていただけると嬉しいです。,できるだけ条件の良い案件にしていただけると助かります。
3,3,,
2,2,作業内容を非表示にされると、作業するべきか回避すべきかが判断できません。非表示にする意味がいまいち理解できないと感じます。,大学の調査系のタスクは割りがいいと思います。その他、一部に高単価なタスクもたまにありますが、基本的に割りに合わない印象です。誰もが書きやすい案件でも最低でも文字単価0.2円は欲しいところです。
1,1,あまりにも単価が低すぎると思います。ライターもそれなりのスキルが必要であるにもかかわらず、500円などの低単価で発注している仕事がほとんどです。。最低賃金にもならない金額で仕事をしなければいけないなんてこの世の闇だなと思いました。,
3,3,　元々報酬が少ない案件の上に手数料2割は高と想う。,　それは投げる方が悪いです。
3,3,最近タスクの数が少ないです,もっと多くのタスクをお願いします
5,5,,
4,4,,
3,3,もう少し金額をのばせるタスクをしてみたいです,特になし
4,4,,
4,4,,
3,3,,
2,2,報酬額や文字単価、募集件数などを個別に設定・保存できる検索オブションがほしいです。,"理想とするイメージがあるのなら、可能な限り具体的に提示してください。
納品後に必要文字数を増加させるなど、条件を変更して非承認にしないでください。
1文字あたり0.1円すら下回るライティング案件はどうかと思います。"
5,5,お世話になってま～す,お世話になってま～す
4,4,ありません,ありません
4,4,,
3,3,分類わけがもうすこし分かりやすくなればよいなと思います,作業が別サイトにリンクされている場合、リンク先が非常に重たいときがあるので困ります
2,2,ライティングは１文字１円以上に設定していただけないですか。女性や高齢者向けの案件が多く私には関心が薄いものばかりです。もっと幅広い分野を提供してください。,もっとレベルの高い案件がを要望したいです。ライティングに関して、政治や経済など学術的な物を増やして欲しい。
4,4,,
3,3,,
3,3,ちょっとずつしかお金を稼げなくて大変だと思います。,それでも…10円からやって欲しいです…。
2,2,１番安いタスクが1円から5円に上がり、良かったです。1円のタスクは何か、ばかにされているような、気持ちにもなりました。,簡単なアンケートのタスクで、コピー&ペーストがありますが、うちこみもオーケーにして欲しいです。
4,4,,
3,3,作業予定時間設定がいい加減だったり、低価格であまりにも多い文字数の文章を納品させる方がいるので何とかしてほしい。,報酬額を高めに設定して欲しい。
